,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Phoenix,1554,1647,3194,7323,11497,11749,2232,3262,15779,2600,3376,10214,4373,3537,3686,957,1328,3005,2065,3971,2054,1712,3326,7361,1108,7568,1554,3491,1972,3528,1688,2720,5188,4941,3663,6939,3888,1428,2089,1516,4885,9310,2404,1314,14340,3778,10560,13619,4366,12595,3367,10592,3544,9396,1899,5646
Psylocke,4499,5314,9361,13911,28531,29818,5232,9722,37007,4772,9303,23948,11615,10094,9927,3194,4458,6549,5090,7515,6849,4333,7172,23676,2445,16377,2925,10561,3609,9831,4630,5022,13379,3663,12163,17434,12314,2254,5414,2360,9946,21611,5647,3560,37150,10741,25188,33001,11528,28264,9216,27552,8244,21586,4094,17535
Scarlet Witch,7292,8315,13865,23090,48072,47013,8545,14521,57932,7802,14652,40523,15736,15673,15770,5343,7369,10085,8260,14027,9713,7153,12248,36541,4213,25265,5305,16443,7287,15725,6700,9974,18677,6939,17434,19367,21022,5095,8731,4364,17526,33519,9018,5189,58087,17209,41714,51764,18544,52599,13640,41832,12353,35425,7444,26642
Spider Man,6265,6290,9959,16551,30168,32211,5949,12236,41102,5735,10748,27888,16617,12582,12850,4265,5452,7999,5933,8285,8379,4824,8099,25519,2323,18680,3408,13211,3112,12262,6630,4787,21700,3888,12314,21022,14185,2161,6457,2612,9803,26383,6520,4450,45378,12423,28468,34525,12975,31250,9145,33783,10523,24007,4337,25756
Squirrel Girl,1073,1022,1814,4523,7794,7822,1869,2031,9963,2067,2160,7451,2791,2359,2483,645,954,1863,1507,3158,1294,1180,2440,4657,1039,4481,603,2163,1535,2457,1299,2315,3714,1428,2254,5095,2161,3329,1297,869,3478,6233,1382,803,10314,2651,6783,8599,3054,9721,1951,6420,2355,6314,1220,4229
Star Lord,2328,2583,4070,7225,13508,14656,2471,4795,18514,2916,4707,12553,5745,4990,5059,1658,2366,3366,2668,4252,3190,2343,3912,10874,1299,7962,1952,5355,2318,5216,2307,2977,6447,2089,5414,8731,6457,1297,6171,1493,5519,10633,3198,1758,18575,5131,13552,15860,5607,14877,4194,12730,4627,10966,2369,7785
Storm,1132,1147,2053,3891,7510,7529,1510,2359,10059,1373,2222,6945,2995,2452,2341,704,1174,1731,1345,2757,1493,1206,2119,4843,623,4122,887,2424,1579,2442,1191,1724,3303,1516,2360,4364,2612,869,1493,3226,3481,5904,1385,946,9711,2579,6848,8691,2941,8459,2149,6572,2409,5873,1285,3805
The Punisher,4297,4376,7960,19395,28163,28957,7122,9025,42479,6007,8428,25279,10728,9109,9270,2575,3596,7290,5158,9310,5799,4231,8936,20324,2853,17634,4207,9244,5552,9070,4258,7042,12894,4885,9946,17526,9803,3478,5519,3481,12509,23737,5996,3470,35488,9832,26869,35666,11415,31519,9030,27408,9613,23187,5211,14360
Winter Soldier,10093,10849,18060,28661,63157,65585,11748,20385,90636,11088,19619,55778,23867,21397,21621,6655,9601,15821,10608,17454,14858,9334,18111,40889,5417,35913,6558,21643,8584,21450,8593,13285,24253,9310,21611,33519,26383,6233,10633,5904,23737,26064,13059,7334,77813,20538,57977,76766,23858,64024,19804,60206,21706,49615,9562,32403
Wolverine,2684,2955,4332,7888,13568,15652,3073,6031,20818,2650,5422,13269,8577,5929,6124,1730,2236,3892,2911,4599,3538,2515,4339,11087,1272,9061,1602,5837,2392,5507,2421,3119,6837,2404,5647,9018,6520,1382,3198,1385,5996,13059,6794,1837,19447,5340,15335,20132,5853,15531,4969,14074,5217,12632,2395,8443
